tyden,vek,poradi_davky,pocet_davek
2022-W04,60-69,2,1092
2022-W04,60-69,1,559
2022-W04,50-59,2,1423
2022-W04,80-129,3,4415
2022-W04,40-49,3,40661
2022-W04,0-29,1,7869
2022-W04,0-29,2,15604
2022-W04,0-29,3,46788
2022-W04,30-39,1,2065
2022-W04,50-59,1,830
2022-W04,30-39,3,31374
2022-W04,40-49,1,1203
2022-W04,40-49,2,2191
2022-W04,30-39,2,3428
2022-W05,50-59,3,17747
2022-W05,80-129,2,366
2022-W05,80-129,1,149
2022-W05,70-79,3,8715
2022-W05,70-79,2,752
2022-W05,70-79,1,221
2022-W05,60-69,3,13043
2022-W05,60-69,2,1008
2022-W05,60-69,1,350
2022-W05,80-129,3,2678
2022-W05,50-59,2,1357
2022-W05,40-49,3,23422
2022-W05,40-49,2,1988
2022-W05,40-49,1,707
2022-W05,30-39,3,20048
2022-W05,30-39,2,2952
2022-W05,30-39,1,1168
2022-W05,0-29,3,37152
2022-W05,0-29,2,14240
2022-W05,0-29,1,4923
2022-W05,50-59,1,425
2022-W06,60-69,1,180
2022-W06,60-69,2,866
2022-W06,60-69,3,7694
2022-W06,70-79,1,108
2022-W06,50-59,3,10194
2022-W06,70-79,3,5640
2022-W06,80-129,1,87
2022-W06,80-129,2,299
2022-W06,70-79,2,557
2022-W06,50-59,2,1008
2022-W06,80-129,3,1941
2022-W06,40-49,3,13637
2022-W06,0-29,1,2643
2022-W06,0-29,2,10843
2022-W06,0-29,3,21234
2022-W06,30-39,1,565
2022-W06,50-59,1,247
2022-W06,30-39,3,11200
2022-W06,40-49,1,407
2022-W06,40-49,2,1561
2022-W06,30-39,2,2312
2022-W07,80-129,3,1269
2022-W07,80-129,2,206
2022-W07,80-129,1,56
2022-W07,70-79,3,3592
2022-W07,70-79,2,380
2022-W07,70-79,1,52
2022-W07,60-69,3,5259
2022-W07,60-69,1,118
2022-W07,50-59,3,7290
2022-W07,60-69,2,552
2022-W07,50-59,2,743
2022-W07,40-49,3,9530
2022-W07,40-49,2,995
2022-W07,40-49,1,251
2022-W07,30-39,3,7603
2022-W07,30-39,2,1639
2022-W07,30-39,1,396
2022-W07,0-29,3,13781
2022-W07,0-29,2,7597
2022-W07,0-29,1,1922
2022-W07,50-59,1,175
2022-W08,60-69,1,82
2022-W08,60-69,2,351
2022-W08,60-69,3,3888
2022-W08,70-79,1,44
2022-W08,50-59,3,5677
2022-W08,70-79,3,2457
2022-W08,80-129,1,32
2022-W08,80-129,2,137
2022-W08,70-79,2,257
2022-W08,80-129,3,846
2022-W08,50-59,2,494
2022-W08,40-49,3,7436
2022-W08,0-29,1,1486
2022-W08,0-29,2,5600
2022-W08,0-29,3,10800
2022-W08,30-39,1,325
2022-W08,50-59,1,114
2022-W08,30-39,3,5654
2022-W08,40-49,1,216
2022-W08,40-49,2,785
2022-W08,30-39,2,1212
2022-W09,50-59,3,3743
2022-W09,80-129,2,99
2022-W09,80-129,1,32
2022-W09,70-79,3,1606
2022-W09,70-79,2,150
2022-W09,70-79,1,59
2022-W09,60-69,3,2690
2022-W09,60-69,2,228
2022-W09,60-69,1,89
2022-W09,80-129,3,533
2022-W09,50-59,2,291
2022-W09,40-49,3,4605
2022-W09,40-49,2,460
2022-W09,40-49,1,209
2022-W09,30-39,3,3549
2022-W09,30-39,2,644
2022-W09,30-39,1,355
2022-W09,0-29,3,6512
2022-W09,0-29,2,2962
2022-W09,0-29,1,1105
2022-W09,50-59,1,135
2022-W10,60-69,1,145
2022-W10,60-69,2,127
2022-W10,60-69,3,2066
2022-W10,70-79,1,76
2022-W10,50-59,3,3259
2022-W10,70-79,3,1147
2022-W10,80-129,1,31
2022-W10,80-129,2,66
2022-W10,70-79,2,77
2022-W10,50-59,2,174
2022-W10,80-129,3,369
2022-W10,40-49,3,4006
2022-W10,0-29,1,1037
2022-W10,0-29,2,2115
2022-W10,0-29,3,5145
2022-W10,30-39,1,474
2022-W10,50-59,1,225
2022-W10,30-39,3,3107
2022-W10,40-49,1,319
2022-W10,40-49,2,310
2022-W10,30-39,2,441
2022-W11,80-129,3,328
2022-W11,80-129,2,50
2022-W11,80-129,1,28
2022-W11,70-79,3,1080
2022-W11,70-79,2,42
2022-W11,70-79,1,83
2022-W11,60-69,3,1979
2022-W11,60-69,2,96
2022-W11,50-59,3,3419
2022-W11,50-59,2,137
2022-W11,60-69,1,106
2022-W11,40-49,3,4208
2022-W11,50-59,1,161
2022-W11,0-29,2,1714
2022-W11,0-29,3,4767
2022-W11,30-39,1,386
2022-W11,0-29,1,920
2022-W11,30-39,3,2969
2022-W11,40-49,1,256
2022-W11,40-49,2,227
2022-W11,30-39,2,310
2022-W12,60-69,1,89
2022-W12,80-129,2,42
2022-W12,80-129,1,30
2022-W12,70-79,3,994
2022-W12,70-79,2,54
2022-W12,70-79,1,52
2022-W12,60-69,3,1767
2022-W12,80-129,3,309
2022-W12,50-59,3,2999
2022-W12,60-69,2,105
2022-W12,50-59,2,150
2022-W12,0-29,1,810
2022-W12,0-29,2,1561
2022-W12,0-29,3,4155
2022-W12,30-39,1,291
2022-W12,50-59,1,134
2022-W12,30-39,3,3073
2022-W12,40-49,1,240
2022-W12,40-49,2,217
2022-W12,40-49,3,4505
2022-W12,30-39,2,335
2022-W13,50-59,3,2736
2022-W13,80-129,2,36
2022-W13,80-129,1,26
2022-W13,70-79,3,870
2022-W13,70-79,2,85
2022-W13,70-79,1,52
2022-W13,60-69,3,1496
2022-W13,60-69,2,133
2022-W13,60-69,1,75
2022-W13,80-129,3,285
2022-W13,50-59,1,124
2022-W13,40-49,3,4767
2022-W13,40-49,2,324
2022-W13,40-49,1,230
2022-W13,30-39,3,3419
2022-W13,30-39,2,434
2022-W13,30-39,1,290
2022-W13,0-29,3,4068
2022-W13,0-29,2,1349
2022-W13,0-29,1,902
2022-W13,50-59,2,206
2022-W14,60-69,1,50
2022-W14,60-69,2,98
2022-W14,60-69,3,1305
2022-W14,70-79,1,33
2022-W14,80-129,3,234
2022-W14,70-79,3,666
2022-W14,80-129,1,16
2022-W14,80-129,2,29
2022-W14,70-79,2,80
2022-W14,50-59,3,2167
2022-W14,50-59,2,166
2022-W14,40-49,3,4040
2022-W14,0-29,1,735
2022-W14,0-29,2,1009
2022-W14,0-29,3,3949
2022-W14,30-39,1,221
2022-W14,50-59,1,107
2022-W14,30-39,3,3347
2022-W14,40-49,1,183
2022-W14,40-49,2,251
2022-W14,30-39,2,391
2022-W15,80-129,3,167
2022-W15,80-129,2,22
2022-W15,80-129,1,12
2022-W15,70-79,3,437
2022-W15,70-79,2,41
2022-W15,70-79,1,27
2022-W15,60-69,3,756
2022-W15,60-69,1,45
2022-W15,50-59,3,1354
2022-W15,60-69,2,63
2022-W15,50-59,2,97
2022-W15,40-49,3,2478
2022-W15,40-49,2,171
2022-W15,40-49,1,139
2022-W15,30-39,3,2497
2022-W15,30-39,2,206
2022-W15,30-39,1,147
2022-W15,0-29,3,3346
2022-W15,0-29,2,684
2022-W15,0-29,1,517
2022-W15,50-59,1,64
2022-W16,60-69,1,30
2022-W16,60-69,2,90
2022-W16,60-69,3,1056
2022-W16,70-79,1,32
2022-W16,50-59,3,1551
2022-W16,70-79,3,557
2022-W16,80-129,1,14
2022-W16,80-129,2,27
2022-W16,70-79,2,60
2022-W16,80-129,3,169
2022-W16,50-59,2,145
2022-W16,40-49,3,2738
2022-W16,0-29,1,692
2022-W16,0-29,2,1185
2022-W16,0-29,3,4429
2022-W16,30-39,1,159
2022-W16,50-59,1,66
2022-W16,30-39,3,2730
2022-W16,40-49,1,107
2022-W16,40-49,2,237
2022-W16,30-39,2,294
2022-W17,50-59,3,1638
2022-W17,80-129,2,24
2022-W17,80-129,1,16
2022-W17,70-79,3,684
2022-W17,70-79,2,31
2022-W17,70-79,1,23
2022-W17,60-69,3,1137
2022-W17,60-69,2,64
2022-W17,60-69,1,46
2022-W17,80-129,3,193
2022-W17,50-59,2,114
2022-W17,40-49,3,2810
2022-W17,40-49,2,216
2022-W17,40-49,1,131
2022-W17,30-39,3,2717
2022-W17,30-39,2,275
2022-W17,30-39,1,193
2022-W17,0-29,3,4557
2022-W17,0-29,2,972
2022-W17,0-29,1,759
2022-W17,50-59,1,81
2022-W18,60-69,1,30
2022-W18,60-69,2,47
2022-W18,60-69,3,952
2022-W18,70-79,1,23
2022-W18,50-59,3,1422
2022-W18,70-79,3,581
2022-W18,80-129,2,9
2022-W18,80-129,3,167
2022-W18,70-79,2,33
2022-W18,50-59,2,85
2022-W18,80-129,1,12
2022-W18,40-49,3,2471
2022-W18,0-29,2,793
2022-W18,50-59,1,56
2022-W18,0-29,3,4251
2022-W18,30-39,1,163
2022-W18,0-29,1,694
2022-W18,30-39,3,2434
2022-W18,40-49,1,137
2022-W18,40-49,2,172
2022-W18,30-39,2,182
2022-W19,60-69,1,41
2022-W19,80-129,3,151
2022-W19,80-129,2,8
2022-W19,80-129,1,7
2022-W19,70-79,3,516
2022-W19,70-79,2,42
2022-W19,70-79,1,19
2022-W19,60-69,3,966
2022-W19,60-69,2,43
2022-W19,50-59,3,1418
2022-W19,50-59,2,82
2022-W19,50-59,1,66
2022-W19,0-29,2,859
2022-W19,0-29,3,4412
2022-W19,30-39,1,165
2022-W19,30-39,2,191
2022-W19,0-29,1,677
2022-W19,40-49,1,120
2022-W19,40-49,2,140
2022-W19,40-49,3,2435
2022-W19,30-39,3,2346
2022-W20,60-69,1,34
2022-W20,80-129,3,161
2022-W20,80-129,2,13
2022-W20,80-129,1,16
2022-W20,70-79,3,533
2022-W20,70-79,2,21
2022-W20,70-79,1,15
2022-W20,60-69,3,848
2022-W20,60-69,2,41
2022-W20,50-59,3,1239
2022-W20,50-59,2,82
2022-W20,50-59,1,62
2022-W20,0-29,2,924
2022-W20,0-29,3,3951
2022-W20,30-39,1,178
2022-W20,30-39,2,171
2022-W20,0-29,1,630
2022-W20,40-49,1,103
2022-W20,40-49,2,120
2022-W20,40-49,3,2231
2022-W20,30-39,3,2060
2022-W21,60-69,1,42
2022-W21,80-129,3,173
2022-W21,80-129,2,17
2022-W21,80-129,1,17
2022-W21,70-79,3,477
2022-W21,70-79,2,23
2022-W21,70-79,1,26
2022-W21,60-69,3,817
2022-W21,60-69,2,40
2022-W21,50-59,3,1171
2022-W21,50-59,2,51
2022-W21,50-59,1,58
2022-W21,0-29,2,821
2022-W21,0-29,3,3951
2022-W21,30-39,1,114
2022-W21,30-39,2,163
2022-W21,0-29,1,541
2022-W21,40-49,1,107
2022-W21,40-49,2,159
2022-W21,40-49,3,2153
2022-W21,30-39,3,2118
2022-W22,60-69,1,31
2022-W22,80-129,3,126
2022-W22,80-129,2,17
2022-W22,80-129,1,7
2022-W22,70-79,3,346
2022-W22,70-79,2,21
2022-W22,70-79,1,16
2022-W22,60-69,3,575
2022-W22,60-69,2,39
2022-W22,50-59,3,945
2022-W22,50-59,2,71
2022-W22,50-59,1,42
2022-W22,0-29,2,844
2022-W22,0-29,3,3265
2022-W22,30-39,1,102
2022-W22,30-39,2,164
2022-W22,0-29,1,516
2022-W22,40-49,1,104
2022-W22,40-49,2,126
2022-W22,40-49,3,1696
2022-W22,30-39,3,1581
2022-W23,60-69,1,26
2022-W23,80-129,3,134
2022-W23,80-129,2,11
2022-W23,80-129,1,6
2022-W23,70-79,3,300
2022-W23,70-79,2,20
2022-W23,70-79,1,13
2022-W23,60-69,3,489
2022-W23,60-69,2,33
2022-W23,50-59,3,826
2022-W23,50-59,2,60
2022-W23,50-59,1,48
2022-W23,0-29,2,747
2022-W23,0-29,3,2765
2022-W23,30-39,1,103
2022-W23,30-39,2,152
2022-W23,0-29,1,361
2022-W23,40-49,1,63
2022-W23,40-49,2,97
2022-W23,40-49,3,1404
2022-W23,30-39,3,1304
2022-W24,60-69,1,17
2022-W24,80-129,3,88
2022-W24,80-129,2,13
2022-W24,80-129,1,6
2022-W24,70-79,3,242
2022-W24,70-79,2,17
2022-W24,70-79,1,10
2022-W24,60-69,3,380
2022-W24,60-69,2,33
2022-W24,50-59,3,632
2022-W24,50-59,2,58
2022-W24,50-59,1,32
2022-W24,0-29,2,610
2022-W24,0-29,3,2475
2022-W24,30-39,1,91
2022-W24,30-39,2,120
2022-W24,0-29,1,254
2022-W24,40-49,1,56
2022-W24,40-49,2,86
2022-W24,40-49,3,1207
2022-W24,30-39,3,1077
2022-W25,60-69,1,24
2022-W25,80-129,3,96
2022-W25,80-129,2,14
2022-W25,80-129,1,16
2022-W25,70-79,3,208
2022-W25,70-79,2,26
2022-W25,70-79,1,22
2022-W25,60-69,3,355
2022-W25,60-69,2,31
2022-W25,50-59,3,604
2022-W25,50-59,2,45
2022-W25,50-59,1,44
2022-W25,0-29,2,657
2022-W25,0-29,3,2499
2022-W25,30-39,1,74
2022-W25,30-39,2,103
2022-W25,0-29,1,233
2022-W25,40-49,1,57
2022-W25,40-49,2,102
2022-W25,40-49,3,1172
2022-W25,30-39,3,994
2022-W26,60-69,1,20
2022-W26,80-129,3,82
2022-W26,80-129,2,9
2022-W26,80-129,1,6
2022-W26,70-79,3,267
2022-W26,70-79,2,13
2022-W26,70-79,1,13
2022-W26,60-69,3,438
2022-W26,60-69,2,24
2022-W26,50-59,3,703
2022-W26,30-39,3,1133
2022-W26,50-59,1,36
2022-W26,0-29,2,489
2022-W26,0-29,3,2494
2022-W26,30-39,1,92
2022-W26,30-39,2,117
2022-W26,0-29,1,338
2022-W26,40-49,1,61
2022-W26,40-49,2,86
2022-W26,40-49,3,1316
2022-W26,50-59,2,46
2022-W27,50-59,3,468
2022-W27,80-129,3,45
2022-W27,80-129,2,2
2022-W27,80-129,1,3
2022-W27,70-79,3,134
2022-W27,70-79,2,4
2022-W27,70-79,1,9
2022-W27,60-69,3,287
2022-W27,60-69,2,17
2022-W27,50-59,2,27
2022-W27,60-69,1,26
2022-W27,40-49,3,865
2022-W27,40-49,2,43
2022-W27,40-49,1,52
2022-W27,30-39,3,777
2022-W27,30-39,2,56
2022-W27,30-39,1,78
2022-W27,0-29,3,1628
2022-W27,0-29,2,197
2022-W27,0-29,1,189
2022-W27,50-59,1,36
2022-W28,60-69,1,52
2022-W28,60-69,2,28
2022-W28,60-69,3,734
2022-W28,60-69,4,9
2022-W28,70-79,1,20
2022-W28,70-79,2,24
2022-W28,80-129,3,124
2022-W28,70-79,4,19
2022-W28,80-129,1,7
2022-W28,80-129,2,10
2022-W28,80-129,4,2
2022-W28,50-59,4,3
2022-W28,70-79,3,410
2022-W28,50-59,3,1060
2022-W28,30-39,1,156
2022-W28,50-59,1,54
2022-W28,50-59,2,41
2022-W28,0-29,2,374
2022-W28,0-29,3,3235
2022-W28,0-29,4,3
2022-W28,30-39,2,75
2022-W28,0-29,1,429
2022-W28,30-39,4,6
2022-W28,40-49,1,98
2022-W28,40-49,2,60
2022-W28,40-49,3,1856
2022-W28,40-49,4,5
2022-W28,30-39,3,1677
2022-W29,60-69,1,45
2022-W29,60-69,2,25
2022-W29,60-69,3,732
2022-W29,80-129,4,3774
2022-W29,70-79,1,16
2022-W29,70-79,4,7993
2022-W29,70-79,3,470
2022-W29,80-129,1,12
2022-W29,80-129,2,13
2022-W29,80-129,3,146
2022-W29,50-59,4,1912
2022-W29,70-79,2,19
2022-W29,50-59,3,965
2022-W29,60-69,4,5546
2022-W29,50-59,1,69
2022-W29,0-29,1,349
2022-W29,0-29,2,327
2022-W29,0-29,3,2792
2022-W29,0-29,4,328
2022-W29,30-39,1,123
2022-W29,30-39,2,85
2022-W29,50-59,2,29
2022-W29,30-39,4,619
2022-W29,40-49,1,79
2022-W29,40-49,2,60
2022-W29,40-49,3,1532
2022-W29,40-49,4,1296
2022-W29,30-39,3,1552
2022-W30,60-69,1,42
2022-W30,60-69,2,27
2022-W30,60-69,3,769
2022-W30,60-69,4,7174
2022-W30,70-79,1,31
2022-W30,70-79,4,11135
2022-W30,70-79,3,530
2022-W30,80-129,1,27
2022-W30,80-129,2,9
2022-W30,80-129,3,231
2022-W30,50-59,4,2162
2022-W30,70-79,2,12
2022-W30,50-59,3,975
2022-W30,80-129,4,6007
2022-W30,50-59,1,45
2022-W30,0-29,1,336
2022-W30,0-29,2,302
2022-W30,0-29,3,2689
2022-W30,0-29,4,331
2022-W30,30-39,1,150
2022-W30,30-39,2,104
2022-W30,50-59,2,42
2022-W30,30-39,4,599
2022-W30,40-49,1,88
2022-W30,40-49,2,54
2022-W30,40-49,3,1538
2022-W30,40-49,4,1348
2022-W30,30-39,3,1558
2022-W31,50-59,4,1731
2022-W31,60-69,1,42
2022-W31,60-69,2,43
2022-W31,60-69,3,683
2022-W31,60-69,4,5483
2022-W31,70-79,1,32
2022-W31,70-79,4,8709
2022-W31,70-79,3,487
2022-W31,80-129,1,18
2022-W31,80-129,2,10
2022-W31,80-129,3,220
2022-W31,50-59,3,847
2022-W31,70-79,2,19
2022-W31,80-129,4,4756
2022-W31,50-59,2,38
2022-W31,40-49,4,1067
2022-W31,50-59,1,65
2022-W31,0-29,1,348
2022-W31,0-29,2,387
2022-W31,0-29,4,295
2022-W31,30-39,1,146
2022-W31,0-29,3,2302
2022-W31,30-39,3,1355
2022-W31,30-39,4,523
2022-W31,40-49,1,101
2022-W31,40-49,2,80
2022-W31,40-49,3,1266
2022-W31,30-39,2,110
2022-W32,70-79,1,39
2022-W32,60-69,1,24
2022-W32,60-69,2,43
2022-W32,60-69,3,616
2022-W32,60-69,4,5477
2022-W32,70-79,2,19
2022-W32,80-129,4,5064
2022-W32,70-79,4,8861
2022-W32,80-129,1,25
2022-W32,80-129,2,9
2022-W32,80-129,3,202
2022-W32,50-59,4,1642
2022-W32,70-79,3,468
2022-W32,50-59,3,767
2022-W32,30-39,2,121
2022-W32,50-59,1,56
2022-W32,0-29,2,331
2022-W32,0-29,3,1914
2022-W32,0-29,4,260
2022-W32,30-39,1,117
2022-W32,50-59,2,61
2022-W32,0-29,1,267
2022-W32,30-39,4,476
2022-W32,40-49,1,76
2022-W32,40-49,2,65
2022-W32,40-49,3,1017
2022-W32,40-49,4,1035
2022-W32,30-39,3,1141
2022-W33,60-69,1,41
2022-W33,60-69,2,37
2022-W33,60-69,3,601
2022-W33,60-69,4,6519
2022-W33,70-79,1,25
2022-W33,70-79,4,9737
2022-W33,70-79,3,435
2022-W33,80-129,1,36
2022-W33,80-129,2,35
2022-W33,80-129,3,260
2022-W33,50-59,4,2276
2022-W33,70-79,2,40
2022-W33,50-59,3,759
2022-W33,80-129,4,5599
2022-W33,50-59,1,33
2022-W33,0-29,1,254
2022-W33,0-29,2,329
2022-W33,0-29,3,1838
2022-W33,0-29,4,401
2022-W33,30-39,1,112
2022-W33,30-39,2,132
2022-W33,50-59,2,46
2022-W33,30-39,4,790
2022-W33,40-49,1,73
2022-W33,40-49,2,72
2022-W33,40-49,3,1014
2022-W33,40-49,4,1558
2022-W33,30-39,3,1083
2022-W34,50-59,4,2400
2022-W34,60-69,1,46
2022-W34,60-69,2,30
2022-W34,60-69,3,557
2022-W34,60-69,4,6597
2022-W34,70-79,1,29
2022-W34,70-79,4,9813
2022-W34,70-79,3,450
2022-W34,80-129,1,26
2022-W34,80-129,2,15
2022-W34,80-129,3,253
2022-W34,50-59,3,744
2022-W34,70-79,2,26
2022-W34,80-129,4,5515
2022-W34,50-59,2,47
2022-W34,40-49,4,1669
2022-W34,50-59,1,54
2022-W34,0-29,1,272
2022-W34,0-29,2,388
2022-W34,0-29,3,1862
2022-W34,30-39,1,119
2022-W34,0-29,4,441
2022-W34,30-39,3,1133
2022-W34,30-39,4,846
2022-W34,40-49,1,92
2022-W34,40-49,2,72
2022-W34,40-49,3,923
2022-W34,30-39,2,129
2022-W35,70-79,1,36
2022-W35,60-69,2,30
2022-W35,60-69,3,512
2022-W35,60-69,4,6127
2022-W35,70-79,2,29
2022-W35,60-69,1,33
2022-W35,70-79,4,9077
2022-W35,80-129,1,21
2022-W35,80-129,2,21
2022-W35,80-129,3,245
2022-W35,80-129,4,5381
2022-W35,70-79,3,433
2022-W35,50-59,4,2108
2022-W35,50-59,3,636
2022-W35,0-29,1,281
2022-W35,50-59,2,42
2022-W35,0-29,2,306
2022-W35,0-29,3,1567
2022-W35,0-29,4,409
2022-W35,30-39,2,104
2022-W35,30-39,3,910
2022-W35,30-39,1,86
2022-W35,40-49,1,80
2022-W35,40-49,2,80
2022-W35,40-49,3,801
2022-W35,40-49,4,1364
2022-W35,50-59,1,57
2022-W35,30-39,4,678
2022-W36,60-69,4,6145
2022-W36,60-69,1,37
2022-W36,60-69,2,28
2022-W36,60-69,3,519
2022-W36,70-79,1,21
2022-W36,80-129,4,5882
2022-W36,70-79,3,505
2022-W36,80-129,1,44
2022-W36,80-129,2,32
2022-W36,80-129,3,333
2022-W36,50-59,4,2204
2022-W36,70-79,2,24
2022-W36,50-59,3,553
2022-W36,70-79,4,9606
2022-W36,50-59,1,49
2022-W36,50-59,2,34
2022-W36,0-29,2,232
2022-W36,0-29,3,1057
2022-W36,0-29,4,384
2022-W36,30-39,1,94
2022-W36,30-39,2,89
2022-W36,0-29,1,183
2022-W36,30-39,4,675
2022-W36,40-49,1,64
2022-W36,40-49,2,69
2022-W36,40-49,3,792
2022-W36,40-49,4,1350
2022-W36,30-39,3,875
2022-W37,60-69,1,31
2022-W37,60-69,2,38
2022-W37,60-69,3,613
2022-W37,60-69,4,7955
2022-W37,70-79,1,39
2022-W37,70-79,4,11052
2022-W37,70-79,3,511
2022-W37,80-129,1,36
2022-W37,80-129,2,31
2022-W37,80-129,3,295
2022-W37,50-59,4,3232
2022-W37,80-129,4,6199
2022-W37,70-79,2,27
2022-W37,50-59,3,625
2022-W37,40-49,2,69
2022-W37,50-59,1,41
2022-W37,0-29,1,215
2022-W37,0-29,2,247
2022-W37,50-59,2,41
2022-W37,0-29,4,605
2022-W37,30-39,1,108
2022-W37,0-29,3,1044
2022-W37,30-39,3,886
2022-W37,30-39,4,1234
2022-W37,40-49,1,74
2022-W37,40-49,3,821
2022-W37,40-49,4,2271
2022-W37,30-39,2,99
2022-W38,70-79,1,23
2022-W38,60-69,1,36
2022-W38,60-69,2,32
2022-W38,60-69,3,700
2022-W38,60-69,4,10950
2022-W38,70-79,2,26
2022-W38,50-59,4,4184
2022-W38,70-79,4,15825
2022-W38,80-129,1,31
2022-W38,80-129,2,16
2022-W38,80-129,3,361
2022-W38,80-129,4,8137
2022-W38,70-79,3,611
2022-W38,50-59,3,651
2022-W38,0-29,1,170
2022-W38,50-59,1,37
2022-W38,0-29,2,217
2022-W38,0-29,3,901
2022-W38,0-29,4,650
2022-W38,30-39,1,78
2022-W38,30-39,2,88
2022-W38,50-59,2,35
2022-W38,30-39,4,1332
2022-W38,40-49,1,54
2022-W38,40-49,2,50
2022-W38,40-49,3,849
2022-W38,40-49,4,2812
2022-W38,30-39,3,768
2022-W39,60-69,2,28
2022-W39,60-69,3,582
2022-W39,60-69,4,9299
2022-W39,70-79,1,18
2022-W39,70-79,2,27
2022-W39,80-129,1,14
2022-W39,70-79,4,12686
2022-W39,80-129,2,10
2022-W39,80-129,3,273
2022-W39,80-129,4,6867
2022-W39,60-69,1,23
2022-W39,70-79,3,472
2022-W39,50-59,4,3645
2022-W39,50-59,3,530
2022-W39,0-29,1,129
2022-W39,50-59,2,40
2022-W39,0-29,2,172
2022-W39,0-29,3,807
2022-W39,0-29,4,654
2022-W39,30-39,2,85
2022-W39,30-39,3,722
2022-W39,30-39,1,75
2022-W39,40-49,1,28
2022-W39,40-49,2,57
2022-W39,40-49,3,695
2022-W39,40-49,4,2739
2022-W39,50-59,1,30
2022-W39,30-39,4,1348
2022-W40,70-79,1,21
2022-W40,60-69,1,38
2022-W40,60-69,2,28
2022-W40,60-69,3,883
2022-W40,60-69,4,15747
2022-W40,70-79,2,37
2022-W40,50-59,4,6235
2022-W40,70-79,4,21954
2022-W40,80-129,1,17
2022-W40,80-129,2,26
2022-W40,80-129,3,351
2022-W40,80-129,4,9954
2022-W40,70-79,3,728
2022-W40,50-59,3,739
2022-W40,0-29,1,194
2022-W40,50-59,1,43
2022-W40,50-59,2,46
2022-W40,0-29,2,215
2022-W40,0-29,3,970
2022-W40,30-39,1,108
2022-W40,30-39,2,93
2022-W40,0-29,4,980
2022-W40,30-39,4,2127
2022-W40,40-49,1,63
2022-W40,40-49,2,82
2022-W40,40-49,3,1022
2022-W40,40-49,4,4347
2022-W40,30-39,3,929
2022-W41,70-79,1,29
2022-W41,60-69,1,29
2022-W41,60-69,2,35
2022-W41,60-69,3,1104
2022-W41,60-69,4,18942
2022-W41,70-79,2,21
2022-W41,80-129,4,10877
2022-W41,70-79,4,24948
2022-W41,80-129,1,25
2022-W41,80-129,2,29
2022-W41,80-129,3,352
2022-W41,50-59,4,7435
2022-W41,70-79,3,820
2022-W41,50-59,3,938
2022-W41,0-29,1,189
2022-W41,50-59,1,44
2022-W41,0-29,2,222
2022-W41,0-29,3,1147
2022-W41,0-29,4,1190
2022-W41,30-39,1,72
2022-W41,30-39,2,82
2022-W41,50-59,2,41
2022-W41,30-39,4,2343
2022-W41,40-49,1,51
2022-W41,40-49,2,68
2022-W41,40-49,3,1167
2022-W41,40-49,4,5086
2022-W41,30-39,3,1050
2022-W42,60-69,1,22
2022-W42,60-69,2,25
2022-W42,60-69,3,1037
2022-W42,60-69,4,19961
2022-W42,70-79,1,25
2022-W42,70-79,4,25246
2022-W42,70-79,3,817
2022-W42,80-129,1,13
2022-W42,80-129,2,21
2022-W42,80-129,3,307
2022-W42,50-59,4,6949
2022-W42,70-79,2,20
2022-W42,80-129,4,10653
2022-W42,50-59,3,945
2022-W42,50-59,1,32
2022-W42,50-59,2,33
2022-W42,0-29,1,158
2022-W42,0-29,2,143
2022-W42,0-29,3,1182
2022-W42,30-39,1,75
2022-W42,30-39,2,63
2022-W42,0-29,4,1019
2022-W42,30-39,4,2167
2022-W42,40-49,1,47
2022-W42,40-49,2,44
2022-W42,40-49,3,1150
2022-W42,40-49,4,4579
2022-W42,30-39,3,1086
2022-W43,70-79,1,10
2022-W43,60-69,1,6
2022-W43,60-69,2,23
2022-W43,60-69,3,671
2022-W43,60-69,4,13404
2022-W43,80-129,4,7415
2022-W43,50-59,4,4796
2022-W43,70-79,3,591
2022-W43,70-79,4,17394
2022-W43,80-129,1,12
2022-W43,80-129,2,19
2022-W43,80-129,3,254
2022-W43,70-79,2,16
2022-W43,50-59,3,618
2022-W43,30-39,3,699
2022-W43,50-59,1,22
2022-W43,50-59,2,23
2022-W43,0-29,1,84
2022-W43,0-29,2,124
2022-W43,0-29,4,732
2022-W43,30-39,1,31
2022-W43,0-29,3,788
2022-W43,30-39,4,1442
2022-W43,40-49,1,36
2022-W43,40-49,2,25
2022-W43,40-49,3,671
2022-W43,40-49,4,3036
2022-W43,30-39,2,55
2022-W44,70-79,2,30
2022-W44,60-69,3,760
2022-W44,60-69,4,15386
2022-W44,60-69,6,10
2022-W44,70-79,1,14
2022-W44,70-79,3,575
2022-W44,80-129,6,1
2022-W44,70-79,6,13
2022-W44,80-129,1,12
2022-W44,80-129,2,17
2022-W44,80-129,3,217
2022-W44,80-129,4,7904
2022-W44,60-69,2,28
2022-W44,70-79,4,20101
2022-W44,50-59,4,5767
2022-W44,60-69,1,18
2022-W44,30-39,1,67
2022-W44,0-29,1,139
2022-W44,0-29,2,186
2022-W44,0-29,3,809
2022-W44,0-29,4,910
2022-W44,30-39,2,79
2022-W44,50-59,3,698
2022-W44,30-39,3,769
2022-W44,40-49,1,34
2022-W44,40-49,2,46
2022-W44,40-49,3,820
2022-W44,40-49,4,4031
2022-W44,50-59,1,23
2022-W44,50-59,2,45
2022-W44,30-39,4,1701
2022-W45,60-69,6,7
2022-W45,60-69,4,12524
2022-W45,60-69,1,20
